Subject,group,target,prediction,probability
EE32,MAIN,2,1,0.048971254583921035
GB06,MAIN,2,2,0.6199316268920664
GH90,MAIN,2,2,0.6206233571419305
GI26,MAIN,1,1,0.3388989048509075
GI29,MAIN,2,1,0.4122066907077734
GI36,MAIN,2,2,0.6105768429470756
GI46,MAIN,2,2,0.5888140990318039
GM22,MAIN,2,2,0.6800989586050331
HF57,MAIN,2,2,0.5991935487994863
HP40,MAIN,2,2,0.6163902980994489
IA21,MAIN,1,2,0.7480262970103849
IA36,MAIN,1,1,0.3588456854481542
IN66,MAIN,2,2,0.658110227999416
JC25,MAIN,1,2,0.5133650470253199
JE99,MAIN,1,1,0.3282991378025926
EE71,MAIN,1,1,0.2959520821108323
GC03,MAIN,1,1,0.4476607638994843
GH35,MAIN,2,2,0.6428825022769155
GJ04,MAIN,1,1,0.4274783763096955
GK91,MAIN,1,1,0.12775755809017172
GM41,MAIN,1,1,0.41688492354372164
GM62,MAIN,1,1,0.1556596360393002
GN03,MAIN,1,1,0.17671033358159088
HE88,MAIN,1,1,0.3501039458391337
HV65,MAIN,1,1,0.15176044860795088
IC95,MAIN,1,1,0.3443312011746494
IJ26,MAIN,2,1,0.3549211891346878
IV92,MAIN,2,2,0.5377609734241634
JB44,MAIN,1,1,0.42416368406220306
JC12,MAIN,1,1,0.4356572695266693
JC52,MAIN,1,2,0.5023224607263802
JF94,MAIN,2,1,0.46567253268235725
